#
#  Cluster report 
#[ Dataset prefix      = model33f_luminance ]
#[ Threshold vol       = [1] 'groupA:t' ]
#[ Supplement dat vol  = [1] 'groupA:t' ]
#[ Option summary      = -bisided,p=0.001,clust_nvox,37,NN1 ]
#[ Threshold value(s)  = left-tail p=0.001000 -> thr=-3.792131;  right-tail p=0.001000 -> thr=3.792131 ]
#[ Aux. stat. info.    = DEGREES-of-FREEDOM : 22  ]
#[ Nvoxel threshold    = 37;  Volume threshold = 902.393 ]
#[ Single voxel volume = 24.389 (microliters) ]
#[ Neighbor type, NN   = 1 ]
#[ Voxel datum type    = short ]
#[ Voxel dimensions    = 2.900 mm X 2.900 mm X 2.900 mm ]
#[ Coordinates Order   = RAI ]
#[ Mask                = /home/span/dopa/midaffemo/ROIs/glm_mask_gm.nii.gz ]
#[ Mean and SEM based on signed voxel intensities ]
#
#Volume  CM RL  CM AP  CM IS  minRL  maxRL  minAP  maxAP  minIS  maxIS    Mean     SEM    Max Int  MI RL  MI AP  MI IS
#------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -------  -------  -------  -----  -----  -----
   1329   29.9   78.3  -14.5    1.4   53.7   28.2  106.5  -33.1   13.3    5.123   0.0276   9.6321   27.5   91.9   -7.0 
    835  -22.9   86.3   -9.0  -45.0    1.4   60.1  103.6  -27.3   16.2   5.0723   0.0329    8.362  -16.0   91.9   -9.9 
    131    6.1  -33.4  -26.6  -13.1   21.8  -53.1  -18.2  -30.2  -21.5   5.2461   0.1566   19.599   10.2  -44.4  -30.2 
    113   62.8   22.1   22.6   56.5   68.2   13.7   31.1   10.4   42.3   4.4656   0.0489   6.1461   65.2   19.4   19.1 
    102   -3.4   51.5   35.1  -16.0    7.2   31.1   68.8   24.9   45.2   -4.429   0.0454  -6.1984   -4.3   62.9   30.7 
     99   41.1    2.7   -2.1   36.2   47.8   -9.6   16.6  -15.7   16.2   4.4784    0.079   8.4379   42.0   -0.9   -4.1 
     76   23.8   29.4   -7.7   15.9   30.4   22.3   33.9  -15.7    1.7   5.7785   0.1761   10.358   21.8   31.1   -7.0 
     69   51.3  -28.3   -1.9   45.0   56.5  -38.6  -15.4  -15.7   10.4   4.1917   0.0382   5.4711   53.7  -18.2  -12.8 
     65  -22.9   27.4   -8.3  -27.6  -16.0   16.6   33.9  -12.8   -1.2   5.6077   0.2052   11.169  -21.8   28.2   -9.9 
     48   36.2   83.0   38.7   30.4   45.0   77.4   89.1   30.7   45.2  -4.5581   0.0957  -6.6077   36.2   83.2   39.4 
     46  -42.0   -0.5   -2.5  -47.8  -39.2   -6.7    4.9   -9.9    4.6   4.9859   0.1827   9.0524  -42.1   -0.9   -4.1 
     46   -0.6   10.6    9.2   -4.3    4.3   -0.9   19.4    1.7   16.2  -4.3696   0.0714  -5.7214   -1.5   13.7   16.2 
     45   11.7   77.0    4.9    4.3   15.9   65.8   83.2   -1.2   13.3   4.1455   0.0395    4.795   13.0   80.4    1.7 
     41  -43.9   65.3    3.1  -50.8  -39.2   60.1   68.8   -7.0   13.3   -4.274   0.0592  -5.1653  -42.1   65.8    7.5 
#------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -------  -------  -------  -----  -----  -----
#  3045   11.1   63.8   -8.2                                             4.3156   0.0497                             
